db_id,question,query,generated_query,hardness,lang,process_time,Max_Score,Avg_Score
divorces_duration_of_marriage_citizenship_categories,What are the top 5 cantons with the highest number of divorces in 1994 for Swiss couples?,"SELECT su.name, SUM(div.amount) as total
FROM divorces_duration_of_marriage_citizenship_categories AS div
JOIN spatial_unit AS su on div.spatialunit_uid = su.spatialunit_uid
WHERE div.year = 1994
  AND div.duration_of_marriage = 'Duration of marriage - total'
  AND div.citizenship_category_husband = 'Switzerland'
  AND div.citizenship_category_wife = 'Switzerland'
  AND su.name LIKE '%Canton%'
GROUP BY su.name
ORDER BY total DESC
LIMIT 5;","SELECT spatialunit_uid
FROM experiment.divorces_duration_of_marriage_citizenship_categories
WHERE year = 1994
AND citizenship_category_husband = 'Switzerland'
AND citizenship_category_wife = 'Switzerland'
ORDER BY amount DESC
LIMIT 5;",unknown,en,7.1055918941274285,0,0
divorces_duration_of_marriage_citizenship_categories,In which year between 1990 and 2000 did the Canton of Zurich have the highest number of divorces between Swiss couples?,"SELECT year, SUM(amount) as total
FROM divorces_duration_of_marriage_citizenship_categories join spatial_unit su on divorces_duration_of_marriage_citizenship_categories.spatialunit_uid = su.spatialunit_uid
WHERE year BETWEEN 2000 AND 2010
  AND su.spatialunit_uid = '1_A.ADM1'
  AND duration_of_marriage = 'Duration of marriage - total'
  AND citizenship_category_husband = 'Switzerland'
  AND citizenship_category_wife = 'Switzerland'
GROUP BY year
ORDER BY total DESC
LIMIT 1;","SELECT year
FROM experiment.divorces_duration_of_marriage_citizenship_categories
WHERE citizenship_category_husband = 'Switzerland'
AND citizenship_category_wife = 'Switzerland'
AND spatialunit_uid IN (
    SELECT spatialunit_uid
    FROM experiment.spatial_unit
    WHERE name = 'Zurich'
    AND canton = true
)
AND year BETWEEN 1990 AND 2000
GROUP BY year
ORDER BY SUM(amount) DESC
LIMIT 1;",unknown,en,12.473134221043438,0,0
divorces_duration_of_marriage_citizenship_categories,"In 1995, which municipality had the lowest number of divorces between Swiss couples who were married for 10-14 years?","SELECT su.name, SUM(amount) AS total_divorces
FROM divorces_duration_of_marriage_citizenship_categories AS d
JOIN spatial_unit AS su ON d.spatialunit_uid = su.spatialunit_uid
WHERE duration_of_marriage = '10-14 years'
  AND year = 1995
  AND su.spatialunit_uid LIKE '%_A.ADM3'
  AND citizenship_category_husband = 'Switzerland'
  AND citizenship_category_wife = 'Switzerland'
GROUP BY su.name
ORDER BY total_divorces ASC
LIMIT 1;","SELECT spatialunit_uid
FROM experiment.divorces_duration_of_marriage_citizenship_categories
WHERE year = 1995
AND citizenship_category_husband = 'Switzerland'
AND citizenship_category_wife = 'Switzerland'
AND duration_of_marriage = '10-14 years'
ORDER BY amount ASC
LIMIT 1;",unknown,en,9.735741530545056,0,0
divorces_duration_of_marriage_citizenship_categories,How has the number of divorces for Swiss couples changed from 1990 to 2000?,"SELECT year, SUM(amount) as total
FROM divorces_duration_of_marriage_citizenship_categories WHERE year BETWEEN 1990 AND 2000
  AND duration_of_marriage = 'Duration of marriage - total'
  AND citizenship_category_husband = 'Switzerland'
  AND citizenship_category_wife = 'Switzerland'
GROUP BY year
ORDER BY year;","SELECT year, amount
FROM experiment.divorces_duration_of_marriage_citizenship_categories
WHERE citizenship_category_husband = 'Switzerland' AND citizenship_category_wife = 'Switzerland'
AND year >= 1990 AND year <= 2000",unknown,en,6.300581568852067,0,0
divorces_duration_of_marriage_citizenship_categories,Which municipality had the highest number of divorces in 1995 between Swiss couples?,"SELECT su.name, d.year, SUM(d.amount) as total_divorces
FROM divorces_duration_of_marriage_citizenship_categories AS d
JOIN spatial_unit AS su ON d.spatialunit_uid = su.spatialunit_uid
WHERE d.year = 1995
  AND su.spatialunit_uid LIKE '%_A.ADM3'
  AND d.duration_of_marriage = 'Duration of marriage - total'
  AND d.citizenship_category_husband = 'Switzerland'
  AND d.citizenship_category_wife = 'Switzerland'
GROUP BY su.name, d.year
ORDER BY total_divorces DESC
LIMIT 1;","SELECT spatialunit_uid
FROM experiment.divorces_duration_of_marriage_citizenship_categories
WHERE year = 1995
AND citizenship_category_husband = 'Switzerland'
AND citizenship_category_wife = 'Switzerland'
ORDER BY amount DESC
LIMIT 1;",unknown,en,5.084062085021287,0,0
marriage_citizenship,"Give me the average number of marriages at the canton level in 2001, where both the husband and wife are citizens of Swiss?","SELECT  AVG(T1.amount)  FROM marriage_citizenship as T1
JOIN spatial_unit AS T2 on T1.spatialunit_uid = T2.spatialunit_uid
WHERE T2.canton = 'True' AND T1.year = 2001  AND T1.citizenship_category_husband = 'Switzerland' AND  T1.citizenship_category_wife = 'Switzerland';","SELECT AVG(amount) AS average_marriages
FROM experiment.marriage_citizenship mc
JOIN experiment.spatial_unit su ON mc.spatialunit_uid = su.spatialunit_uid
WHERE mc.year = 2001
AND mc.citizenship_category_husband = 'Switzerland'
AND mc.citizenship_category_wife = 'Switzerland'
AND su.canton = true",medium,en,8.46228889701888,0,0
marriage_citizenship,"Give me the minimum , maximum and average number of marriages at the municipal level in 2011, where both the husband and wife are citizens of foreign countries?","SELECT  MIN(T1.amount),Max(T1.amount),AVG(T1.amount)  FROM marriage_citizenship as T1
JOIN spatial_unit AS T2 on T1.spatialunit_uid = T2.spatialunit_uid
WHERE T2.municipal = 'True' AND T1.year = 2011  AND T1.citizenship_category_husband = 'Foreign country' AND  T1.citizenship_category_wife = 'Foreign country';","SELECT MIN(amount) AS minimum, MAX(amount) AS maximum, AVG(amount) AS average
FROM experiment.marriage_citizenship mc
JOIN experiment.spatial_unit su ON mc.spatialunit_uid = su.spatialunit_uid
WHERE year = 2011
AND citizenship_category_husband = 'Foreign country'
AND citizenship_category_wife = 'Foreign country'
AND su.municipal = true",hard,en,7.162407168187201,0,0
marriage_citizenship,"In 2006, what were the top 10 cantons with the highest number of marriages where the grooms were Swiss nationals?","SELECT  T2.name, T2.spatialunit_ontology,T1.year, T1.amount   FROM marriage_citizenship as T1
JOIN spatial_unit AS T2 on T1.spatialunit_uid = T2.spatialunit_uid
WHERE T2.canton = 'True' AND T1.year = 2012  AND T1.citizenship_category_husband = 'Switzerland' AND  T1.citizenship_category_wife = 'Citizenship of wife - total'
ORDER BY T1.amount DESC
LIMIT 10;","SELECT spatialunit_uid, SUM(amount) AS total_marriages
FROM experiment.marriage_citizenship
WHERE year = 2006 AND citizenship_category_husband = 'Switzerland'
GROUP BY spatialunit_uid
ORDER BY total_marriages DESC
LIMIT 10;",extra,en,7.607541562989354,0,0
marriage_citizenship,Which canton has the highest number of marriages between Swiss women and Swiss men on 2018?,"SELECT  T2.name,T1.citizenship_category_wife,T1.citizenship_category_husband,T1.year, T1.amount FROM marriage_citizenship as T1
JOIN spatial_unit AS T2 on T1.spatialunit_uid = T2.spatialunit_uid
WHERE T2.municipal = 'True' and T1.year = 2018 and T1.citizenship_category_husband = 'Switzerland' and T1.citizenship_category_wife = 'Switzerland'
ORDER BY  T1.amount DESC
LIMIT 1;","SELECT spatialunit_uid
FROM experiment.marriage_citizenship
WHERE year = 2018
AND citizenship_category_husband = 'Switzerland'
AND citizenship_category_wife = 'Switzerland'
GROUP BY spatialunit_uid
ORDER BY COUNT(*) DESC
LIMIT 1;",extra,en,7.525239871814847,0,0
marriage_citizenship,What are the top five municipalities with the highest number of marriages between Swiss men and foreign women in the year 2018?,"SELECT T2.name, T1.citizenship_category_husband , T1.citizenship_category_wife, T1.amount FROM marriage_citizenship as T1
JOIN spatial_unit AS T2 on T1.spatialunit_uid = T2.spatialunit_uid
WHERE  T2.municipal = 'True' AND T1.year = 2018 AND T1.citizenship_category_husband = 'Foreign country' and T1.citizenship_category_wife = 'Switzerland'
ORDER BY T1.amount DESC
LIMIT 5;","SELECT spatialunit_uid, amount
FROM experiment.marriage_citizenship
WHERE year = 2018 AND citizenship_category_husband = 'Switzerland' AND citizenship_category_wife = 'Foreign country'
ORDER BY amount DESC
LIMIT 5;",extra,en,6.122283712029457,0,0
marriage_citizenship,"In 2012, how many marriages took place in the District of Affoltern, categorized by the citizenships of the wives and husbands involved?","SELECT T2.name,T1.citizenship_category_husband ,T1.citizenship_category_wife , T1.amount FROM marriage_citizenship as T1
JOIN spatial_unit AS T2 on T1.spatialunit_uid = T2.spatialunit_uid
WHERE T2.district = 'True' AND T1.year = 2010  AND T2.name ilike '%Affoltern%' AND T1.citizenship_category_wife != 'Citizenship of wife - total' and T1.citizenship_category_husband != 'Citizenship of husband - total';","SELECT 
    citizenship_category_husband,
    citizenship_category_wife,
    SUM(amount) AS total_marriages
FROM 
    experiment.marriage_citizenship mc
JOIN 
    experiment.spatial_unit su ON mc.spatialunit_uid = su.spatialunit_uid
WHERE 
    su.name = 'Affoltern' AND su.district = true AND mc.year = 2012
GROUP BY 
    citizenship_category_husband,
    citizenship_category_wife;",unknown,en,10.189658029004931,0,0
marriage_citizenship,How many marriages occurred in Reiden in 1999 with a wife who held Swiss citizenship?,"SELECT  T1.citizenship_category_wife, T2.name,T1.year, T1.amount FROM marriage_citizenship as T1
JOIN spatial_unit AS T2 on T1.spatialunit_uid = T2.spatialunit_uid
WHERE T2.name ilike  '%Reiden%' and T1.year = 1999 and T1.citizenship_category_wife = 'Switzerland' and T1.citizenship_category_husband = 'Citizenship of husband - total';","SELECT COUNT(*) AS marriage_count
FROM experiment.marriage_citizenship mc
JOIN experiment.spatial_unit su ON mc.spatialunit_uid = su.spatialunit_uid
WHERE su.name = 'Reiden' AND mc.year = 1999 AND mc.citizenship_category_wife = 'Switzerland';",unknown,en,9.36958207981661,0,0
marriage_citizenship,In which year did the Canton of Bern have the highest number of marriages between Swiss citizens and foreigners?,"SELECT UN.year, UN.citizenship_category_husband, UN.citizenship_category_wife, UN.amount FROM
(SELECT T2.name, T1.year, T1.citizenship_category_husband , T1.citizenship_category_wife, T1.amount FROM marriage_citizenship as T1
JOIN spatial_unit AS T2 on T1.spatialunit_uid = T2.spatialunit_uid
WHERE  T2.canton = 'True' AND T2.name  ilike '%Bern%'  AND T1.citizenship_category_wife = 'Switzerland' AND T1.citizenship_category_husband = 'Foreign country'
UNION ALL
SELECT T2.name, T1.year, T1.citizenship_category_husband , T1.citizenship_category_wife, T1.amount FROM marriage_citizenship as T1
JOIN spatial_unit AS T2 on T1.spatialunit_uid = T2.spatialunit_uid
WHERE  T2.canton = 'True' AND T2.name  ilike '%Bern%'  AND T1.citizenship_category_wife = 'Foreign country' AND T1.citizenship_category_husband = 'Switzerland') AS UN
ORDER BY UN.amount DESC
LIMIT 1;","SELECT year
FROM experiment.marriage_citizenship
WHERE citizenship_category_husband = 'Switzerland' 
    AND citizenship_category_wife = 'Foreign country'
    AND spatialunit_uid IN (
        SELECT spatialunit_uid
        FROM experiment.spatial_unit
        WHERE name = 'Bern'
            AND canton = true
    )
ORDER BY amount DESC
LIMIT 1;",unknown,en,9.10691862879321,0,0
resident_population_birthplace_citizenship_type,"What was the total population count in each canton , considering both non-permanent and permanent residents on the year of 2018?","SELECT T1.year, T2.name, T1.population_type, T1.place_of_birth, T1.citizenship, T1.amount from resident_population_birthplace_citizenship_type AS T1
JOIN spatial_unit AS T2 ON T1.spatialunit_uid = T2.spatialunit_uid
WHERE T2.canton = 'True'  AND T1.year = 2018 AND T1.place_of_birth = 'Place of birth - total' AND T1.citizenship = 'Citizenship - total'
ORDER BY  T1.amount DESC;","SELECT spatialunit_uid, SUM(amount) AS total_population
FROM experiment.resident_population_birthplace_citizenship_type
WHERE year = 2018
GROUP BY spatialunit_uid",hard,en,4.791543061379343,0,0
resident_population_birthplace_citizenship_type,How many people who were born in Switzerland did not possess permanent residency status by 2015? List by citizenship,"SELECT T1.year, T1.population_type,T1.place_of_birth, T1.citizenship, T1.amount from resident_population_birthplace_citizenship_type AS T1
JOIN spatial_unit AS T2 ON T1.spatialunit_uid = T2.spatialunit_uid
WHERE T2.country = 'True'  AND T1.year = 2015 AND T1.population_type = 'Non permanent resident population' AND T1.place_of_birth = 'Switzerland' AND T1.citizenship != 'Citizenship - total';","SELECT citizenship, SUM(amount) AS total_people
FROM experiment.resident_population_birthplace_citizenship_type
WHERE place_of_birth = 'Switzerland' AND population_type = 'Non permanent resident population' AND year = 2015
GROUP BY citizenship",extra,en,6.074898262042552,0,0
resident_population_birthplace_citizenship_type,How many individuals with Swiss permanent residency were born within the country's borders on 2006?,"SELECT T1.year,T1.population_type,T1.place_of_birth,T1.citizenship, T1.amount from resident_population_birthplace_citizenship_type AS T1
JOIN spatial_unit AS T2 ON T1.spatialunit_uid = T2.spatialunit_uid
WHERE T2.country = 'True' AND T1.year = 2019 AND T1.population_type = 'Permanent resident population' AND T1.place_of_birth = 'Switzerland' AND T1.citizenship = 'Citizenship - total';","SELECT COUNT(*) 
FROM experiment.resident_population_birthplace_citizenship_type 
WHERE population_type = 'Permanent resident population' 
AND place_of_birth = 'Switzerland' 
AND year = 2006;",extra,en,5.451746296603233,0,0
resident_population_birthplace_citizenship_type,How many individuals in each canton of Switzerland were born abroad and hold Swiss citizenship?,"SELECT T2.name, T1.place_of_birth, T1.citizenship, Sum(T1.amount) from resident_population_birthplace_citizenship_type AS T1
JOIN spatial_unit AS T2 ON T1.spatialunit_uid = T2.spatialunit_uid
WHERE T2.canton = 'True'   AND T1.place_of_birth = 'Abroad' AND T1.citizenship ilike '%Switzerland%'
GROUP BY T2.name, T1.place_of_birth, T1.citizenship;","SELECT s.name, COUNT(*) AS total_individuals
FROM experiment.resident_population_birthplace_citizenship_type r
JOIN experiment.spatial_unit s ON r.spatialunit_uid = s.spatialunit_uid
WHERE r.population_type = 'Permanent resident population'
AND r.place_of_birth = 'Abroad'
AND r.citizenship = 'Switzerland'
AND s.canton = true
GROUP BY s.name;",unknown,en,7.059492849744856,0,0
resident_population_birthplace_citizenship_type,How many of Swiss residenc were born within the country and had Iranian Citizenship on 2018?,"SELECT T1.year, T1.population_type, T1.place_of_birth, T1.citizenship, T1.amount from resident_population_birthplace_citizenship_type AS T1
JOIN spatial_unit AS T2 ON T1.spatialunit_uid = T2.spatialunit_uid
WHERE T2.country = 'True'  AND T1.year = 2018 AND T1.place_of_birth = 'Switzerland' AND T1.citizenship ilike '%iran%';","SELECT COUNT(*) 
FROM experiment.resident_population_birthplace_citizenship_type 
WHERE place_of_birth = 'Switzerland' 
AND citizenship = 'Iran' 
AND year = 2018",unknown,en,4.813908976037055,0,0
resident_population_birthplace_citizenship_type,How many vehicles do we have in canton zurich in 2020?,"SELECT S.name, sum(T.amount) as amount from stock_vehicles as T
JOIN spatial_unit as S on T.spatialunit_uid = S.spatialunit_uid
WHERE S.name ilike '%Zurich%'  and T.year = 2020 and S.canton = 'True'
GROUP BY S.name;","SELECT SUM(amount) AS total_vehicles
FROM experiment.resident_population_birthplace_citizenship_type AS rp
JOIN experiment.spatial_unit AS su ON rp.spatialunit_uid = su.spatialunit_uid
WHERE su.name = 'Zurich' AND rp.year = 2020",unknown,en,4.642742824740708,0,0
government_expenditure_by_function_cofog,What proportion of the Swiss budget will be spent on health in 2010 and 2020?,"SELECT year, SUM(percentage_of_total_expenses) as precentage_of_total_expenses_for_health
FROM government_expenditure_by_function_cofog WHERE function_cofog_broad = 'Health'
    AND institutional_sector = 'Government'
    AND year <= 2020
    AND year >= 2010
GROUP BY year
ORDER BY year ASC;","SELECT year, function_cofog_narrow, percentage_of_total_expenses
FROM experiment.government_expenditure_by_function_cofog
WHERE function_cofog_narrow = 'Health'
AND year IN (2010, 2020)",unknown,en,7.291713357903063,0,0
government_expenditure_by_function_cofog,What were the 3 largest sectors for spending of the confederation in year 2021 and how much were they?,"SELECT SUM(T.expenses_in_million_chf) as expenses_in_mio_chf,
  T.function_cofog_narrow as section_with_the_highest_expenses_2020
FROM government_expenditure_by_function_cofog as T
WHERE institutional_sector = 'Confederation' AND year = 2020
GROUP BY T.function_cofog_narrow, T.year, T.institutional_sector
ORDER BY SUM(expenses_in_million_chf) DESC LIMIT 3;","SELECT function_cofog_broad, expenses_in_million_chf
FROM experiment.government_expenditure_by_function_cofog
WHERE institutional_sector = 'Confederation' AND year = 2021
ORDER BY expenses_in_million_chf DESC
LIMIT 3;",unknown,en,6.436520032119006,0,0
government_expenditure_by_function_cofog,What proportion of the Swiss budget is invested in public safety each year?,"SELECT year, SUM(T.percentage_of_total_expenses) as percentage_of_total_expenses_for_safety
FROM government_expenditure_by_function_cofog AS T
WHERE LOWER(function_cofog_broad) LIKE '%public%safety%'
    AND institutional_sector = 'Government'
GROUP BY year
ORDER BY year ASC;","SELECT year, SUM(percentage_of_total_expenses) AS proportion_invested
FROM experiment.government_expenditure_by_function_cofog
WHERE function_cofog_broad = 'Public order and safety'
GROUP BY year",unknown,en,4.61054428294301,0,0
medizinisch_technische_infrastruktur,Welches drei medizinischen Geräte hatten den meisten Zuwachs zwischen 2013 und 2021 in der Schweiz und wieviele Neuanschaffungen gab es jeweils?,"SELECT T.genutzte_infrastruktur,
    SUM(CASE WHEN T.jahr = 2021 THEN T.anzahl_gerate ELSE - T.anzahl_gerate END) AS zuwachs_an_geraeten
FROM medizinisch_technische_infrastruktur as T
JOIN spatial_unit as S on T.spatialunit_uid = S.spatialunit_uid
WHERE S.country
    AND T.jahr IN (2013, 2021)
GROUP BY T.genutzte_infrastruktur
ORDER BY zuwachs_an_geraeten DESC
LIMIT 3;","SELECT genutzte_infrastruktur, SUM(anzahl_gerate) AS neuanschaffungen
FROM experiment.medizinisch_technische_infrastruktur mti
JOIN experiment.spatial_unit su ON mti.spatialunit_uid = su.spatialunit_uid
WHERE su.country = true
AND jahr >= 2013 AND jahr <= 2021
GROUP BY genutzte_infrastruktur
ORDER BY neuanschaffungen DESC
LIMIT 3;",unknown,de,11.794233403168619,0,0
medizinisch_technische_infrastruktur,Welches war das medizinische Gerät 2021 in der Schweiz mit den meisten Untersuchungen und wieviele Untersuchungen gab es damit?,"SELECT T.genutzte_infrastruktur as meistgenutztes_geraet_2021,
  SUM(anzahl_untersuchungen_total) as anzahl_untersuchungen
FROM medizinisch_technische_infrastruktur as T
JOIN spatial_unit as S on T.spatialunit_uid = S.spatialunit_uid
WHERE S.country = 'TRUE'
  AND jahr = '2021'
GROUP BY T.genutzte_infrastruktur
ORDER BY anzahl_untersuchungen DESC LIMIT 1;","SELECT genutzte_infrastruktur, anzahl_untersuchungen_total
FROM experiment.medizinisch_technische_infrastruktur
JOIN experiment.spatial_unit ON experiment.medizinisch_technische_infrastruktur.spatialunit_uid = experiment.spatial_unit.spatialunit_uid
WHERE jahr = 2021 AND country = true
ORDER BY anzahl_untersuchungen_total DESC
LIMIT 1;",unknown,de,9.645704769063741,0,0
medizinisch_technische_infrastruktur,Welche fünf Kantone hatte 2021 die grösste medizinische Infrastruktur mit den meisten Geräten und wieviele Geräte waren es?,"SELECT S.name_de as kanton_mit_groesster_medizinischer_infrastruktur, SUM(T.anzahl_gerate) as anzahl_geraete
FROM medizinisch_technische_infrastruktur as T
JOIN spatial_unit as S on T.spatialunit_uid = S.spatialunit_uid
WHERE S.canton = 'TRUE'
  AND T.jahr = 2021
GROUP BY S.name_de
ORDER BY anzahl_geraete DESC LIMIT 5;","SELECT 
    s.name_de AS kanton,
    m.anzahl_gerate AS anzahl_gerate
FROM 
    experiment.medizinisch_technische_infrastruktur AS m
    INNER JOIN experiment.spatial_unit AS s ON m.spatialunit_uid = s.spatialunit_uid
WHERE 
    m.jahr = 2021
ORDER BY 
    m.anzahl_gerate DESC
LIMIT 5;",unknown,de,10.45343881379813,0,0
volksabstimmung_nach_kanton_seit_1861,Welcher Vorlage in welchem Jahr hatte die meisten Nein Stimmen und bei welcher Wahlbeteiligung und wievielen Ja Stimmen in Prozent?,"SELECT T.vorlage, T.jahr, T.anzahl_nein_stimmen AS hoechste_anzahl_nein_stimmen, T.beteiligung_in_prozent, T.ja_in_prozent
FROM volksabstimmung_nach_kanton_seit_1861 AS T
JOIN spatial_unit AS S ON T.spatialunit_uid = S.spatialunit_uid
WHERE S.country = 'TRUE'
ORDER BY hoechste_anzahl_nein_stimmen DESC LIMIT 1;","SELECT vorlage, jahr, anzahl_nein_stimmen, beteiligung_in_prozent, ja_in_prozent
FROM experiment.volksabstimmung_nach_kanton_seit_1861
WHERE anzahl_nein_stimmen = (SELECT MAX(anzahl_nein_stimmen) FROM experiment.volksabstimmung_nach_kanton_seit_1861)",unknown,de,10.078554885927588,0,0
volksabstimmung_nach_kanton_seit_1861,"Welches waren die drei Volksabstimmung mit der höchsten Beteiligung, wann fanden sie statt und wie hoch war die Beteiligung in Prozent?","SELECT T.jahr, MAX(T.beteiligung_in_prozent) AS hoechste_beteiligung_in_prozent, T.vorlage
FROM volksabstimmung_nach_kanton_seit_1861 as T
JOIN spatial_unit as S on T.spatialunit_uid = S.spatialunit_uid
WHERE S.name_de = 'Schweiz' AND S.country = 'TRUE'
AND T.beteiligung_in_prozent IS NOT NULL
GROUP BY T.jahr, T.vorlage
ORDER BY hoechste_beteiligung_in_prozent DESC
LIMIT 3;","SELECT vorlage, jahr, beteiligung_in_prozent
FROM experiment.volksabstimmung_nach_kanton_seit_1861
ORDER BY beteiligung_in_prozent DESC
LIMIT 3;",unknown,de,5.772465995978564,0,0
volksabstimmung_nach_kanton_seit_1861,"Welches ist aktuellest Vorlage die schweizweit angenommen wurde, aber bei der in der Mehrheit der Kanton dagegen gestimmt wurde? Zeige auch wieviel Prozent Ja Stimmen sie Schweiz weit bekam.","SELECT T.vorlage,
  MAX(CASE WHEN T.ja_in_prozent > 50 AND S.country = 'TRUE' THEN T.ja_in_prozent ELSE NULL END) AS angenommen_gesamt,
  COUNT(CASE WHEN T.ja_in_prozent > 50 AND S.canton = 'TRUE' THEN 1 ELSE NULL END) AS angenommen_in,
  COUNT(CASE WHEN T.ja_in_prozent <= 50 AND S.canton = 'TRUE' THEN 1 ELSE NULL END) AS abgelehnt_in
FROM volksabstimmung_nach_kanton_seit_1861 AS T
JOIN spatial_unit AS S ON T.spatialunit_uid = S.spatialunit_uid
GROUP BY T.vorlage, T.jahr
HAVING MAX(CASE WHEN T.ja_in_prozent > 50 AND S.country = 'TRUE' THEN T.ja_in_prozent ELSE NULL END) IS NOT NULL
   AND COUNT(CASE WHEN T.ja_in_prozent <= 50 AND S.canton = 'TRUE' THEN 1 ELSE NULL END) > COUNT(CASE WHEN T.ja_in_prozent > 50 AND S.canton = 'TRUE' THEN 1 ELSE NULL END)
ORDER BY T.jahr DESC LIMIT 1;","SELECT vorlage, ja_in_prozent
FROM experiment.volksabstimmung_nach_kanton_seit_1861
WHERE ja_in_prozent > 50
GROUP BY vorlage, ja_in_prozent
HAVING COUNT(*) < (SELECT COUNT(*) FROM experiment.spatial_unit WHERE canton = true) / 2;",unknown,de,8.820349742192775,0,0
basel_land_endverbrauch_von_ektrizitat_nach_gemeinde_und_jahr,Zeigen Sie mir den Gesamtstromverbrauch der Gemeinden in Basel-Landschaft im Jahr 2000 gegenüber 2020.,"SELECT T.jahr , SUM(T.endverbrauch_elektrizitaet_mwh) as gesamt_endverbrauch_elektrizitaet_mwh_2020
FROM basel_land_endverbrauch_von_ektrizitat_nach_gemeinde_und_jahr as T
JOIN spatial_unit AS S ON T.spatialunit_uid = S.spatialunit_uid
WHERE S.municipal = 'TRUE'
    AND T.jahr IN (2000, 2020)
GROUP BY T.jahr
ORDER BY gesamt_endverbrauch_elektrizitaet_mwh_2020 DESC;","SELECT 
    SUM(CASE WHEN jahr = 2000 THEN endverbrauch_elektrizitaet_mwh ELSE 0 END) AS verbrauch_2000,
    SUM(CASE WHEN jahr = 2020 THEN endverbrauch_elektrizitaet_mwh ELSE 0 END) AS verbrauch_2020
FROM 
    experiment.basel_land_endverbrauch_von_ektrizitat_nach_gemeinde_und_jahr
WHERE 
    spatialunit_uid LIKE '%_A.ADM3'",unknown,de,12.202880898024887,0,0
basel_land_endverbrauch_von_ektrizitat_nach_gemeinde_und_jahr,Welche der Gemeinden Bottmingen und Birsfelden in Basel-Landschaft hatte 2018 den höchsten Stromverbrauch?,"SELECT S.name AS gemeinde, T.endverbrauch_elektrizitaet_mwh as endverbrauch_elektrizitaet_mwh_2018
FROM basel_land_endverbrauch_von_ektrizitat_nach_gemeinde_und_jahr as T
JOIN spatial_unit AS S ON T.spatialunit_uid = S.spatialunit_uid
WHERE S.municipal = 'TRUE'
    AND T.jahr = 2018
    AND S.name IN ('Blauen', 'Blauen (BL)', 'Birsfelden', 'Birsfelden (BL)')
ORDER BY T.endverbrauch_elektrizitaet_mwh DESC;","SELECT spatialunit_uid, endverbrauch_elektrizitaet_mwh
FROM experiment.basel_land_endverbrauch_von_ektrizitat_nach_gemeinde_und_jahr
WHERE jahr = 2018 AND spatialunit_uid IN ('Bottmingen', 'Birsfelden')
ORDER BY endverbrauch_elektrizitaet_mwh DESC
LIMIT 1;",unknown,de,7.176878465805203,0,0
basel_land_bevolkerung_nach_nationalitat_konfession_gemeinde,Wie viele Reformierte gab es im Kanton Basel-Landschaft in 2022?,"SELECT SUM(T.anzahl_evangelisch_reformiert)
FROM basel_land_bevolkerung_nach_nationalitat_konfession_gemeinde as T
JOIN spatial_unit AS S ON T.spatialunit_uid = S.spatialunit_uid
WHERE S.municipal = 'TRUE'
    AND T.jahr = 2022;","SELECT anzahl_evangelisch_reformiert
FROM experiment.basel_land_bevolkerung_nach_nationalitat_konfession_gemeinde
WHERE jahr = 2022",medium,de,4.929211948998272,0,0
basel_land_bevolkerung_nach_nationalitat_konfession_gemeinde,"Zwischen den Gemeinden Arlesheim und Birsfelden im Kanton Basel-Landschaft, welche hatte 2003 einen höheren Anteil an Protestanten?","SELECT S.name AS gemeinde, CAST(SUM(T.anzahl_evangelisch_reformiert) AS FLOAT) / SUM(T.gesamt_anzahl_personen) as proportion_protestants_2003
FROM basel_land_bevolkerung_nach_nationalitat_konfession_gemeinde as T
JOIN spatial_unit AS S ON T.spatialunit_uid = S.spatialunit_uid
WHERE S.municipal = 'TRUE'
    AND S.name IN ('Ettingen', 'Ettingen (BL)', 'Birsfelden', 'Birsfelden (BL)')
    AND T.jahr = 2003
GROUP BY S.name
ORDER BY proportion_protestants_2003 DESC;","SELECT 
    b1.nationalitat,
    b1.anzahl_evangelisch_reformiert
FROM 
    experiment.basel_land_bevolkerung_nach_nationalitat_konfession_gemeinde b1
JOIN 
    experiment.spatial_unit s1 ON b1.spatialunit_uid = s1.spatialunit_uid
WHERE 
    s1.name = 'Arlesheim' AND b1.jahr = 2003
UNION
SELECT 
    b2.nationalitat,
    b2.anzahl_evangelisch_reformiert
FROM 
    experiment.basel_land_bevolkerung_nach_nationalitat_konfession_gemeinde b2
JOIN 
    experiment.spatial_unit s2 ON b2.spatialunit_uid = s2.spatialunit_uid
WHERE 
    s2.name = 'Birsfelden' AND b2.jahr = 2003
ORDER BY 
    anzahl_evangelisch_reformiert DESC
LIMIT 1;",unknown,de,16.971095309592783,0,0
basel_land_bevolkerung_nach_nationalitat_konfession_gemeinde,Wie hoch war der Anteil der römisch-katholischen Personen an der ausländischen Bevölkerung des Kantons Basel-Landschaft im Jahr 2021?,"SELECT SUM(CAST(T.anzahl_romisch_katholisch AS FLOAT)) / SUM(T.gesamt_anzahl_personen) AS proportion_foreign_romisch_katholisch_basel_land_2021
FROM basel_land_bevolkerung_nach_nationalitat_konfession_gemeinde as T
JOIN spatial_unit AS S ON T.spatialunit_uid = S.spatialunit_uid
WHERE S.municipal = 'TRUE'
    AND T.jahr = 2021
    AND T.nationalitat = 'Ausland';","SELECT (anzahl_romisch_katholisch / gesamt_anzahl_personen) * 100 AS Anteil_Römisch_Katholisch
FROM experiment.basel_land_bevolkerung_nach_nationalitat_konfession_gemeinde
WHERE nationalitat = 'Ausland' AND jahr = 2021",unknown,de,8.497976978775114,0,0
